Pass;SummitElevation;Lat;Lng
"Passo del Cason di Lanza";"1552";"46.56598";"13.170975"
"Passo del Cerreto";"1261";"44.30409";"10.21716"
"Passo del Chiodo";"1458";"44.496873";"9.494647"
"Passo del Compet";"1383";"46.039319";"11.299914"
"Passo del Dosso Alto";"1725";"45.806222";"10.407158"
"Passo del Erbe";"1987";"46.675532";"11.81395"
"Passo del Faiallo";"1061";"44.461588";"8.667001"
"Passo del Giogo";"882";"44.0468";"11.38803"
"Passo del Limbara";"646";"40.84267";"9.103112"
"Passo del Manghen";"2042";"46.173301";"11.441517"
"Passo del Manzo";"845";"43.99324";"11.7632"
"Passo del Mortirolo";"1892";"46.252508";"10.304361"
"Passo del Muraglione";"907";"43.93303";"11.65675"
"Passo del Predil";"1156";"46.418833";"13.5787"
"Passo del Redebus";"1453";"46.136087";"11.323012"
"Passo del Rombo";"2474";"46.905331";"11.097442"
"Passo del Sempione";"2005";"46.25092";"8.032915"
"Passo del Tomarlo";"1482";"44.53641";"9.50147"
"Passo del Tonale";"1884";"46.26012";"10.585842"
"Passo del Turchino";"530";"44.48565";"8.73498"
"Passo del Vestito";"1056";"44.06543";"10.22476"
"Passo del Vivione";"1828";"46.036575";"10.199249"
"Passo della Bocchetta";"772";"44.55023";"8.88324"
"Passo della Borcola";"1206";"45.827827";"11.206612"
"Passo della Calla";"1297";"43.85976";"11.74441"
"Passo della Colletta";"1623";"44.112469";"7.725663"
"Passo della Foce";"1085";"44.10345";"10.33695"
"Passo della Foppa";"1852";"46.24781";"10.30041"
"Passo della Forcella";"1824";"46.487438";"12.810597"
"Passo della Futa";"903";"44.09545";"11.27531"
"Passo della Mendola";"1363";"46.416762";"11.208329"
"Passo della Máuria";"1298";"46.454412";"12.513336"
"Passo della Presolana";"1297";"45.929212";"10.099024"
"Passo della Raticosa";"968";"44.17284";"11.33862"
"Passo della Sillara";"1200";"44.48085";"10.00927"
"Passo della Teglia";"1387";"43.995069";"7.833595"
"Passo della Vena di Sopra";"1545";"45.874993";"11.308296"
"Passo delle Fittanze della Sega";"1399";"45.68387";"10.97912"
"Passo delle Palade";"1518";"46.529549";"11.111801"
"Passo delle Radici";"1530";"44.20927";"10.4888"
"Passo dello Spluga";"2118";"46.50534";"9.33038"
"Passo dello Stelvio";"2757";"46.528618";"10.453206"
"Passo dell’Aprica";"1176";"46.153391";"10.147065"
"Passo dell’Umbrail";"2503";"46.541647";"10.433185"
"Passo di Campogrosso";"1464";"45.72967";"11.17633"
"Passo di Campolongo";"1875";"46.511464";"11.874687"
"Passo di Cento Croci";"1055";"44.4216";"9.62334"
"Passo di Cimabanche";"1530";"46.620586";"12.183976"
"Passo di Col di Caneva";"1835";"46.623469";"12.709005"
"Passo di Costalunga";"1745";"46.40428";"11.60899"
"Passo di Crocedomini";"1895";"45.90753";"10.4095"
"Passo di Falzárego";"2105";"46.51873";"12.00888"
"Passo di Fedaia";"2054";"46.45393";"11.88771"
"Passo di Forcora";"1176";"46.075196";"8.77739"
"Passo di Foscagno";"2291";"46.49635";"10.20786"
"Passo di Furcia";"1789";"46.722896";"11.968876"
"Passo di Gardena";"2121";"46.549667";"11.806355"
"Passo di Gavia";"2618";"46.34348";"10.48739"
"Passo di Genna Silano";"1002";"40.158536";"9.507863"
"Passo di Giau";"2236";"46.482531";"12.05368"
"Passo di Gualdo";"1496";"42.858657";"13.190284"
"Passo di Guspessa";"1824";"46.16781";"10.15075"
"Passo di Lavazè";"1805";"46.35451";"11.492729"
"Passo di Littu";"317";"40.299859";"9.632831"
"Passo di Malanotte";"1052";"44.41089";"9.47199"
"Passo di Meledis";"1613";"46.590566";"13.138618"
"Passo di Monte Croce Carnico";"1357";"46.602622";"12.94443"
"Passo di Monte Croce di Comelico";"1636";"46.655944";"12.42011"
"Passo di Monte Giovo";"2094";"46.839604";"11.321472"
"Passo di Monte Rest";"1052";"46.353462";"12.787096"
"Passo di Pennes";"2211";"46.81885";"11.441225"
"Passo di Pramollo";"1552";"46.559549";"13.276067"
"Passo di Resia";"1504";"46.84723";"10.50546"
"Passo di Rolle";"1984";"46.296255";"11.788384"
"Passo di San Boldo";"706";"46.006004";"12.169667"
"Passo di San Cristina";"1427";"46.169355";"10.156396"
"Passo di San Marco";"1992";"46.046967";"9.622607"
"Passo di San Pellegrino";"1918";"46.378358";"11.79172"
"Passo di San Rocco";"946";"45.748994";"10.53941"
"Passo di Sella";"2240";"46.508069";"11.767326"
"Passo di Tanamea";"850";"46.30584";"13.35012"
"Passo di Tascusì";"1245";"40.031826";"9.230874"
"Passo di Tremalzo";"1665";"45.836677";"10.690245"
"Passo di Valles";"2032";"46.338595";"11.800262"
"Passo di Valparola";"2192";"46.531677";"11.988884"
"Passo di Vézzena";"1417";"45.956615";"11.328594"
"Passo di Xomo";"1058";"45.777134";"11.237578"
"Passo Duran";"1601";"46.324857";"12.096046"
"Passo Fittanze della Sega";"1399";"45.68403";"10.97915"
"Passo Genna e Frongia";"378";"39.531654";"8.611666"
"Passo Ghimbegna";"898";"43.90099";"7.72782"
"Passo Nigra";"1690";"46.456088";"11.58592"
"Passo Pian delle Fugazze";"1163";"45.760196";"11.173325"
"Passo Pordoi";"2239";"46.487466";"11.813534"
"Passo Prato Ceragiola";"635";"43.73642";"10.54895"
"Passo Pura";"1428";"46.423085";"12.743542"
"Passo San Antonio";"1489";"46.571843";"12.482808"
"Passo San Osvaldo";"827";"46.28692";"12.40667"
"Passo Stalle";"2052";"46.887716";"12.199691"
"Passo Staulanza";"1766";"46.4207";"12.1045"
"Passo Torri di Fraele";"1941";"46.50223";"10.30977"
"Passo Tre Croci - Son Zuógo";"1809";"46.557025";"12.201853"
"Passo Ucc'Aidu";"1042";"40.431187";"9.011199"
"Passo Xon";"671";"45.72032";"11.22123"
"Pian del Re";"2020";"44.70118";"7.09509"
"Piano di Sale";"941";"46.09591";"8.58189"
"Piccolo San Bernardo";"2188";"45.68045";"6.88389"
"Punta del Cavallo";"2290";"44.603141";"7.03773"
"Rifugio Alpe Selleries";"2023";"45.047572";"7.120077"
"Rifugio Auronzo";"2320";"46.61233";"12.29386"
"Rifugio Pelizzo";"1320";"46.202739";"13.538743"
"Rifugio Tolazzi";"1380";"46.591989";"12.867823"
"Rodenecker Alm";"1725";"46.775259";"11.727211"
"Route des Salasses";"1582";"45.73542";"7.2094"
"Rucas Montoso";"1278";"44.76054";"7.24627"
"San Michele Prazzo";"1350";"44.49945";"7.0675"
"Sella Carnizza";"1086";"46.337803";"13.315858"
"Sella Chiampon";"790";"46.35529";"12.87856"
"Sella Chianzutan";"954";"46.359313";"12.941045"
"Sella Ciampigotto";"1790";"46.488026";"12.579068"
"Sella di Cereschiatis";"1072";"46.504018";"13.245152"
"Sella di Razzo";"1760";"46.478462";"12.608158"
"Sella di Rioda";"1800";"46.475019";"12.635848"
"Sella Nevea";"1187";"46.3906";"13.482717"
"Sella Somdogna";"1392";"46.46216";"13.44876"
"Sella Valcalda";"958";"46.52415";"12.93179"
"Sighignola";"1314";"45.9682";"8.99234"
"Strada dei Cannoni";"2336";"44.55093";"7.119581"
"Strada della Forra";"370";"45.7763";"10.76085"
"Strada dell’Alpini";"1281";"45.975888";"11.290105"
"Strada Panoramica di Monte Baldo";"1617";"45.798605";"10.893752"
"Traforo del Monte Bianco";"1274";"45.84626";"6.921902"
"Val di Cogne";"1787";"45.61725";"7.35868"
"Val di Rhêmes";"1860";"45.54313";"7.104485"
"Val Lumiei";"1020";"46.45069";"12.76362"
"Val Martello";"2028";"46.486574";"10.684676"
"Val Nambrone / Rifugio Cornisello";"2120";"46.219716";"10.738165"
"Val Savarenche";"1965";"45.52429";"7.20077"
"Valgrisenche";"1800";"45.586083";"7.029426"
"Valle Argentiera";"2410";"44.894639";"6.918278"
"Valle d'Ayas";"1750";"45.86556";"7.72923"
"Valle Zemola";"1216";"46.293358";"12.36793"
"Vernagt";"1690";"46.735206";"10.849396"
"Zanser Alm";"1680";"46.63578";"11.765579"
